model_label,pooling,layer,metric,family,mean,ci95_low,ci95_high,exact_sign_flip_p,seed_units,scope
Qwen3-8B,span_end,24,accuracy_damage_specificity,retention,0.18000000566244126,0.14000000357627868,0.23000000566244125,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,24,relative_rms_specificity,deformation,1.0176578138023615,0.9965183019731193,1.039141111811623,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,24,cosine_specificity,deformation,0.5384481859393417,0.5185872698930325,0.555090433927835,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,25,correct_distance_specificity,retention,1.0189329743385316,0.9676222756505013,1.0674273133277894,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,25,margin_damage_specificity,retention,0.4430118282791227,0.4157189671380911,0.46613267371314576,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,25,accuracy_damage_specificity,retention,0.13000000342726709,0.08000000340864062,0.18000000566244126,0.00390625,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,25,relative_rms_specificity,deformation,0.9714175350964069,0.9527169964462519,0.989800414480269,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,25,cosine_specificity,deformation,0.5123472260893323,0.493436494411435,0.5278193575335899,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,26,correct_distance_specificity,retention,0.9576253652572632,0.9027403005957604,1.0078995898365974,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,26,margin_damage_specificity,retention,0.4390429218765348,0.4106350744562223,0.46167983873747287,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,26,accuracy_damage_specificity,retention,0.12000000327825547,0.07000000104308128,0.18000000342726707,0.0078125,10,exploratory_layerwise_no_layer_selection
