model_label,seed,gold_count,patch_layer,normalized_recovery_full_minus_endpoint,expected_absolute_error_reduction_full_minus_endpoint,strict_absolute_error_reduction_full_minus_endpoint,clean_strict_correct
Gemma4-E4B,1234,9,0,0.978135782255208,6.789289463283576,9.0,False
Gemma4-E4B,1234,9,1,0.9784088994426945,6.791185183363429,9.0,False
Gemma4-E4B,1234,9,2,0.994643559028162,6.903870768803807,9.0,False
Gemma4-E4B,1234,9,3,0.9510233724737513,6.60110086882375,9.0,False
Gemma4-E4B,1234,9,4,0.9632868479906156,6.686222266711797,9.0,False
Gemma4-E4B,1234,9,5,0.9502254852649256,6.595562693737996,9.0,False
Gemma4-E4B,1234,9,6,0.9884641582167799,6.860979238221628,9.0,False
Gemma4-E4B,1234,9,7,0.9681031297958962,6.719652319988658,9.0,False
Gemma4-E4B,1234,9,8,0.9602721193592985,6.665296884262267,9.0,False
Gemma4-E4B,1234,9,9,0.9400998022609353,6.525279820772202,9.0,False
Gemma4-E4B,1234,9,10,0.8985043506357102,6.23656370736252,8.0,False
Gemma4-E4B,1234,9,11,0.8806917945904738,6.112925863551876,8.0,False
Gemma4-E4B,1234,9,12,0.9115599735205427,6.327183439813399,9.0,False
Gemma4-E4B,1234,9,13,0.8834876057671862,6.132331728982562,8.0,False
Gemma4-E4B,1234,9,14,0.8583479110522673,5.9578358486205945,8.0,False
Gemma4-E4B,1234,9,15,0.871532774915088,6.0493526491738745,8.0,False
Gemma4-E4B,1234,9,16,0.8031415774025262,5.574645921256387,8.0,False
Gemma4-E4B,1234,9,17,-0.004047339254860869,-0.02809278451505648,0.0,False
Gemma4-E4B,1234,9,18,-0.007634566915886022,-0.052991911408506454,0.0,False
Gemma4-E4B,1234,9,19,-0.009758283978691848,-0.06773273792674228,0.0,False
Gemma4-E4B,1234,9,20,0.0012330973097631585,0.008558990197736982,0.0,False
Gemma4-E4B,1234,9,21,0.007287867364371366,0.05058545245390622,0.0,False
Gemma4-E4B,1234,9,22,0.0010544154627966217,0.007318750547068653,0.0,False
Gemma4-E4B,1234,9,23,0.0,0.0,0.0,False
Gemma4-E4B,1234,9,24,0.0,0.0,0.0,False
Gemma4-E4B,1234,9,25,0.0,0.0,0.0,False
Gemma4-E4B,1234,9,26,0.0,0.0,0.0,False
Gemma4-E4B,1234,9,27,0.0,0.0,0.0,False
Gemma4-E4B,1234,9,28,0.0,0.0,0.0,False
Gemma4-E4B,1234,9,29,0.0,0.0,0.0,False
Gemma4-E4B,1234,9,30,0.0,0.0,0.0,False
Gemma4-E4B,1234,9,31,0.0,0.0,0.0,False
