scheme,held_out,converged,model_label,log_kappa,kappa,tau,query_last_log_neff_effect
needle,N=20,True,Gemma4-E4B,0.17044478578567276,1.185832175334341,0.7346384016783578,0.0
needle,N=20,True,Llama3.1-8B,-0.7028139632195192,0.4951898952461302,0.7346384016783578,0.0
needle,N=20,True,Llama3.2-3B,-0.8058122795469636,0.44672491363486444,0.7346384016783578,0.0
needle,N=20,True,OLMo-Hybrid-7B,-0.8737387838302193,0.4173881044818893,0.7346384016783578,0.0
needle,N=20,True,Qwen3-1.7B,0.19779062463173536,1.218707199838135,0.7346384016783578,0.0
needle,N=20,True,Qwen3-32B,0.14673942466017506,1.1580521638747177,0.7346384016783578,0.0
needle,N=20,True,Qwen3-8B,-1.3963181217039313,0.2475065774665901,0.7346384016783578,0.0
needle,N=30,True,Gemma4-12B,-0.4975919654904357,0.6079929664082089,0.7682402421072042,0.0
needle,N=30,True,Gemma4-E4B,0.22787120002750968,1.2559235520954073,0.7682402421072042,0.0
needle,N=30,True,Llama3.1-8B,-0.9212305386921045,0.3980289495850381,0.7682402421072042,0.0
needle,N=30,True,Llama3.2-3B,-0.8189131252317873,0.4409106087929199,0.7682402421072042,0.0
needle,N=30,True,OLMo-Hybrid-7B,-0.891249052317847,0.41014314243772876,0.7682402421072042,0.0
needle,N=30,True,Qwen3-1.7B,0.1213599568536998,1.1290312417659456,0.7682402421072042,0.0
needle,N=30,True,Qwen3-32B,-0.9645181668997586,0.3811668142878387,0.7682402421072042,0.0
needle,N=30,True,Qwen3-8B,-1.3997198896165224,0.2466660479868681,0.7682402421072042,0.0
