scheme,fold,candidate,link,n_rows,rmse,nrmse,mae,r2,mode,target,kind
cell,cell_fold=1,power_separable,identity,399,0.20019126555293315,0.7210299074235622,0.13125187171394972,0.46975470258854857,direct,log1p_relative_error,continuous
cell,cell_fold=2,power_separable,identity,402,0.24351298632072302,0.8770619712019376,0.14338074256092653,0.3751793045541676,direct,log1p_relative_error,continuous
cell,cell_fold=3,power_separable,identity,404,0.1934089014089305,0.6966018317162829,0.12898837041617328,0.46574391297946505,direct,log1p_relative_error,continuous
cell,cell_fold=4,power_separable,identity,403,0.19248606920116354,0.6932780622226645,0.1325703065061834,0.4265561035011408,direct,log1p_relative_error,continuous
seed,seed=1234,power_interaction,identity,405,0.2094425381162107,0.7543502632414159,0.13644583110106087,0.38929262106634976,direct,log1p_relative_error,continuous
seed,seed=1235,power_interaction,identity,407,0.3055087577570211,1.1003524590056966,0.16152627068055234,0.30166886268548077,direct,log1p_relative_error,continuous
seed,seed=1236,power_interaction,identity,403,0.19844687717641726,0.7147471348652489,0.1436611109341811,0.4260396147949387,direct,log1p_relative_error,continuous
seed,seed=1237,power_interaction,identity,399,0.18786466455895032,0.6766331254311503,0.13171700126496586,0.43084794538671733,direct,log1p_relative_error,continuous
seed,seed=1238,power_interaction,identity,399,0.1733580431399084,0.6243845526979169,0.12062558798566808,0.33570526204536244,direct,log1p_relative_error,continuous
cell,cell_fold=0,power_interaction,identity,405,0.24152930151839688,0.8699173234800291,0.1469551975458441,0.2625830114212061,direct,log1p_relative_error,continuous
cell,cell_fold=1,power_interaction,identity,399,0.20068143102441613,0.7227953389150383,0.13187730456586766,0.4671549275590593,direct,log1p_relative_error,continuous
cell,cell_fold=2,power_interaction,identity,402,0.24292444434767357,0.8749422165604419,0.14194543989981045,0.3781958896382205,direct,log1p_relative_error,continuous
cell,cell_fold=3,power_interaction,identity,404,0.1927568163982426,0.6942532137903711,0.12908619923202666,0.4693403668678974,direct,log1p_relative_error,continuous
cell,cell_fold=4,power_interaction,identity,403,0.19586526190525383,0.7054489179084354,0.1366277304549482,0.4062451606582336,direct,log1p_relative_error,continuous
seed,seed=1234,power_quadratic,identity,405,0.20223275639548446,0.7283827554568927,0.13550773688250664,0.4306145231577688,direct,log1p_relative_error,continuous
seed,seed=1235,power_quadratic,identity,407,0.30623605157218686,1.1029719568682548,0.16028333569610448,0.2983400123814075,direct,log1p_relative_error,continuous
