request_id,model_label,seed,target_passage_tokens,num_needles,query_order,exact_correct,mode,p_parse_oof,p_exact_given_parse_oof,p_exact_product_oof
Qwen3-8B/direct/query_first/T5000_N5_seed1234,Qwen3-8B,1234,5000,5,query_first,0,direct,0.999999999,0.44686928087226063,0.44686928042539137
Qwen3-8B/direct/query_first/T5000_N5_seed1235,Qwen3-8B,1235,5000,5,query_first,0,direct,0.999999999,0.44686928087226063,0.44686928042539137
Qwen3-8B/direct/query_first/T5000_N5_seed1236,Qwen3-8B,1236,5000,5,query_first,0,direct,0.999999999,0.44686928087226063,0.44686928042539137
Qwen3-8B/direct/query_first/T5000_N5_seed1237,Qwen3-8B,1237,5000,5,query_first,1,direct,0.999999999,0.44686928087226063,0.44686928042539137
Qwen3-8B/direct/query_first/T5000_N5_seed1238,Qwen3-8B,1238,5000,5,query_first,0,direct,0.999999999,0.44686928087226063,0.44686928042539137
Qwen3-8B/direct/query_first/T5000_N6_seed1234,Qwen3-8B,1234,5000,6,query_first,1,direct,0.999999999,0.2921881165636553,0.2921881162714672
Qwen3-8B/direct/query_first/T5000_N6_seed1235,Qwen3-8B,1235,5000,6,query_first,0,direct,0.999999999,0.2921881165636553,0.2921881162714672
Qwen3-8B/direct/query_first/T5000_N6_seed1236,Qwen3-8B,1236,5000,6,query_first,0,direct,0.999999999,0.2921881165636553,0.2921881162714672
Qwen3-8B/direct/query_first/T5000_N6_seed1237,Qwen3-8B,1237,5000,6,query_first,0,direct,0.999999999,0.2921881165636553,0.2921881162714672
Qwen3-8B/direct/query_first/T5000_N6_seed1238,Qwen3-8B,1238,5000,6,query_first,0,direct,0.999999999,0.2921881165636553,0.2921881162714672
Qwen3-8B/direct/query_first/T5000_N8_seed1234,Qwen3-8B,1234,5000,8,query_first,0,direct,0.9999999939437954,0.1293119818344792,0.12931198105133937
Qwen3-8B/direct/query_first/T5000_N8_seed1235,Qwen3-8B,1235,5000,8,query_first,1,direct,0.9999999939437954,0.1293119818344792,0.12931198105133937
