model_label,role,layer,folds,silhouette_cosine_mean,silhouette_cosine_min,silhouette_cosine_max,calinski_harabasz_mean,calinski_harabasz_min,calinski_harabasz_max,davies_bouldin_mean,davies_bouldin_min,davies_bouldin_max
Gemma4-E4B,answer_query,40,5,-0.015201052930206061,-0.06667084991931915,0.06203233078122139,17.57928341202454,12.40972033210357,24.249384125547408,2.574165940952977,1.9906194676011537,4.1627937817334875
Gemma4-E4B,answer_query,41,5,-0.014229874149896205,-0.07555212080478668,0.057773005217313766,14.104893628036365,10.7426333991186,20.040587623966303,2.8211257618394243,2.1678109553333544,4.253311593020008
Gemma4-E4B,prompt_running,0,1,-0.13118882477283478,-0.13118882477283478,-0.13118882477283478,0.6841377023045853,0.6841377023045853,0.6841377023045853,6.766968248807032,6.766968248807032,6.766968248807032
Gemma4-E4B,prompt_running,1,1,-0.13114795088768005,-0.13114795088768005,-0.13114795088768005,0.6718012960224972,0.6718012960224972,0.6718012960224972,6.772413840924398,6.772413840924398,6.772413840924398
Gemma4-E4B,prompt_running,2,1,-0.1765327900648117,-0.1765327900648117,-0.1765327900648117,0.7964929602562587,0.7964929602562587,0.7964929602562587,6.3978986773349105,6.3978986773349105,6.3978986773349105
Gemma4-E4B,prompt_running,3,1,-0.21303093433380127,-0.21303093433380127,-0.21303093433380127,0.8724341022725035,0.8724341022725035,0.8724341022725035,6.348280586344064,6.348280586344064,6.348280586344064
Gemma4-E4B,prompt_running,4,1,-0.25046420097351074,-0.25046420097351074,-0.25046420097351074,0.8050332957630196,0.8050332957630196,0.8050332957630196,7.005653275913767,7.005653275913767,7.005653275913767
Gemma4-E4B,prompt_running,5,1,-0.06658205389976501,-0.06658205389976501,-0.06658205389976501,9.95018845396185,9.95018845396185,9.95018845396185,7.804605524167933,7.804605524167933,7.804605524167933
Gemma4-E4B,prompt_running,6,1,-0.060221996158361435,-0.060221996158361435,-0.060221996158361435,7.938597508688843,7.938597508688843,7.938597508688843,7.101677885727317,7.101677885727317,7.101677885727317
Gemma4-E4B,prompt_running,7,1,-0.05233258381485939,-0.05233258381485939,-0.05233258381485939,5.445316472039238,5.445316472039238,5.445316472039238,7.730068008597586,7.730068008597586,7.730068008597586
Gemma4-E4B,prompt_running,8,1,-0.0506773367524147,-0.0506773367524147,-0.0506773367524147,5.450896550622448,5.450896550622448,5.450896550622448,8.007000953029536,8.007000953029536,8.007000953029536
Gemma4-E4B,prompt_running,9,1,-0.042934924364089966,-0.042934924364089966,-0.042934924364089966,7.629469871264669,7.629469871264669,7.629469871264669,7.215949306663286,7.215949306663286,7.215949306663286
Gemma4-E4B,prompt_running,10,1,-0.06181072071194649,-0.06181072071194649,-0.06181072071194649,7.850073220598142,7.850073220598142,7.850073220598142,6.779226166352139,6.779226166352139,6.779226166352139
Gemma4-E4B,prompt_running,11,1,-0.06577713787555695,-0.06577713787555695,-0.06577713787555695,7.569720766432674,7.569720766432674,7.569720766432674,7.1849945887833355,7.1849945887833355,7.1849945887833355
Gemma4-E4B,prompt_running,12,1,-0.0648641511797905,-0.0648641511797905,-0.0648641511797905,8.805013766059995,8.805013766059995,8.805013766059995,6.695047746652311,6.695047746652311,6.695047746652311
Gemma4-E4B,prompt_running,13,1,-0.06052534654736519,-0.06052534654736519,-0.06052534654736519,9.792680476183182,9.792680476183182,9.792680476183182,6.29763939156405,6.29763939156405,6.29763939156405
Gemma4-E4B,prompt_running,14,1,-0.0734013095498085,-0.0734013095498085,-0.0734013095498085,8.770591953234783,8.770591953234783,8.770591953234783,6.288709189632583,6.288709189632583,6.288709189632583
