model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Qwen3-8B,prompt_running,14,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5033333333333333,0.4566666666666667,0.55,0.13514572807192962,0.1,0.5033333333333332,0.7466666666666667,0.07333333333333333,32
Qwen3-8B,prompt_running,14,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.45666666666666667,0.41666666666666674,0.49666666666666676,0.11651056880677459,0.1,0.45666666666666667,0.8733333333333333,0.09333333333333334,32
Qwen3-8B,prompt_running,14,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.49,0.44000000000000006,0.5399999999999999,0.1398274799098197,0.1,0.49000000000000005,0.8433333333333334,0.03666666666666667,32
Qwen3-8B,prompt_running,14,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.38333333333333336,0.34,0.4266666666666667,0.12340942045675148,0.1,0.3833333333333333,1.22,-0.38,32
Qwen3-8B,prompt_running,15,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.53,0.4866666666666667,0.5733333333333334,0.1235955584516107,0.1,0.53,0.6733333333333333,0.11333333333333333,32
Qwen3-8B,prompt_running,15,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.43666666666666665,0.4066666666666668,0.47,0.08899179866642239,0.1,0.43666666666666665,0.9333333333333333,0.11333333333333333,32
Qwen3-8B,prompt_running,15,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5,0.4666666666666667,0.5399999999999999,0.10827805840074195,0.1,0.5,0.77,0.15666666666666668,32
Qwen3-8B,prompt_running,15,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.45,0.4066666666666668,0.49000000000000005,0.11962585350828726,0.1,0.45,0.89,0.08333333333333333,32
Qwen3-8B,prompt_running,15,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5,0.45333333333333325,0.5466666666666667,0.1364576478442026,0.1,0.5,0.8233333333333334,0.056666666666666664,32
Qwen3-8B,prompt_running,15,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.41333333333333333,0.3666666666666668,0.46,0.13060425438846857,0.1,0.4133333333333333,1.19,-0.39666666666666667,32
