model,variant,pooling,layer,head,layer_type,examples,seeds,pool_sum,pool_coverage,pool_primary,pool_enrichment,pool_effective_number,positive_contrast,density_enrichment_gt_one,is_broad_candidate,candidate_rank
Qwen3-8B,v4.4,span_mean,4,5,full_attention,180,20,4.837402004890133e-05,0.6870823279869407,3.315726836416779e-05,0.0794875601962485,3.9968301158882023,True,False,False,
Qwen3-8B,v4.4,span_mean,4,6,full_attention,180,20,0.0019458928537423,0.5746356266476467,0.0011783025303527,3.206583262077089,3.312759989249481,True,True,True,252.0
Qwen3-8B,v4.4,span_mean,4,7,full_attention,180,20,0.0025035345431104,0.6225411832219979,0.0015801198268428,4.404972042357893,3.585221948526508,True,True,True,179.0
Qwen3-8B,v4.4,span_mean,4,8,full_attention,180,20,0.000690370972846,0.6350583133400316,0.0004509036341479,1.1150716614222955,3.680072131460805,True,True,True,496.0
Qwen3-8B,v4.4,span_mean,4,9,full_attention,180,20,0.0019777458170226,0.5948593911872789,0.0012194892973903,3.2183441790503844,3.4324577269191985,True,True,True,246.0
Qwen3-8B,v4.4,span_mean,4,10,full_attention,180,20,0.000435568235224,0.6249141557650677,0.0002797880046874,0.7063896814222547,3.624862458598456,True,False,False,
Qwen3-8B,v4.4,span_mean,4,11,full_attention,180,20,0.0020847322043525,0.6715276080021485,0.001423873565154,3.4261756166740938,3.911244933842729,True,True,True,204.0
Qwen3-8B,v4.4,span_mean,4,12,full_attention,180,20,0.0016382953174259,0.5747451386121096,0.0009951674019392,2.66676403789,3.3238973562417407,True,True,True,305.0
Qwen3-8B,v4.4,span_mean,4,13,full_attention,180,20,0.0002770384436442,0.5870240525255789,0.0001734336142619,0.4559266532426227,3.416204428052219,True,False,False,
Qwen3-8B,v4.4,span_mean,4,14,full_attention,180,20,0.0009482845009152,0.6002245177787212,0.0005964750852861,1.5528282336295156,3.4797040114578284,True,True,True,437.0
Qwen3-8B,v4.4,span_mean,4,15,full_attention,180,20,0.00206990448926,0.591039422899017,0.0012956654497082,3.4457138320617227,3.434614469677728,True,True,True,233.0
Qwen3-8B,v4.4,span_mean,4,16,full_attention,180,20,0.0013993126505027,0.5866094355099215,0.0008559886211911,2.2835452724237344,3.386097195239427,True,True,True,338.0
Qwen3-8B,v4.4,span_mean,4,17,full_attention,180,20,0.0018314982906415,0.5803358721144068,0.0011077140000811,2.9680391356428792,3.358548834660628,True,True,True,269.0
Qwen3-8B,v4.4,span_mean,4,18,full_attention,180,20,0.0016780730052427,0.6032039106462014,0.0010555906790168,2.7542083382741605,3.4994385349185606,True,True,True,286.0
Qwen3-8B,v4.4,span_mean,4,19,full_attention,180,20,0.0017720007329245,0.5951536535985162,0.0010929289930475,2.8870904691936827,3.440645178179651,True,True,True,273.0
Qwen3-8B,v4.4,span_mean,4,20,full_attention,180,20,0.0009374876923376,0.8627337620028859,0.0007999585394423,1.5742677776174203,5.129450974961148,True,True,True,364.0
Qwen3-8B,v4.4,span_mean,4,21,full_attention,180,20,0.0012233034729786,0.8254680733434044,0.000991460412802,2.2718532656644825,4.841147677305098,True,True,True,307.0
Qwen3-8B,v4.4,span_mean,4,22,full_attention,180,20,0.0010950479583445,0.8042614052570162,0.0008737622486555,1.9643674532906017,4.755344663932908,True,True,True,335.0
Qwen3-8B,v4.4,span_mean,4,23,full_attention,180,20,0.0009369761858856,0.77495786187036,0.0007138252363186,1.655424630979644,4.544923249755443,True,True,True,389.0
Qwen3-8B,v4.4,span_mean,4,24,full_attention,180,20,0.0010168746708665,0.6260694333402933,0.0006662268627326,1.7415320573961632,3.65342659879033,True,True,True,406.0
Qwen3-8B,v4.4,span_mean,4,25,full_attention,180,20,0.0016270876937637,0.6750976823888017,0.0011413579996618,2.7268496976198646,3.992782621773852,True,True,True,263.0
Qwen3-8B,v4.4,span_mean,4,26,full_attention,180,20,0.0018715776045511,0.5989426767899063,0.0011756378676193,3.15733695787687,3.4802383887921007,True,True,True,254.0
Qwen3-8B,v4.4,span_mean,4,27,full_attention,180,20,0.0012670746000182,0.5909921943955936,0.0007968833002172,2.1469299418049537,3.427962641790287,True,True,True,365.0
Qwen3-8B,v4.4,span_mean,4,28,full_attention,180,20,0.0001834516900032,0.76280601582423,0.0001341211459525,0.3490733677578108,4.400639414615439,True,False,False,
Qwen3-8B,v4.4,span_mean,4,29,full_attention,180,20,0.001011461694553,0.6588726256363341,0.0006380275434913,1.9841384676983955,3.764290852196783,True,True,True,415.0
Qwen3-8B,v4.4,span_mean,4,30,full_attention,180,20,0.0009465792301751,0.9231259795185628,0.0008654488862251,1.6324226122508965,5.477872070192075,True,True,True,336.0
