model,pooling,layer,full_space_discovery_cv_r2,pca3_discovery_cv_r2,pca3_ridge_alpha,pca_evr_pc1,pca_evr_pc1_2,pca_evr_pc1_3,pca_evr_pc1_6,count_signal_capture_pc1_3,discovery_loo_noise_to_signal,discovery_compactness,centroid_step_cv,centroid_path_to_chord,centroid_successive_cosine,manifold_fidelity_m3,within_decodability_gate,probe_optimal,manifold_display
Qwen3-8B,span_mean,29,0.9905073523521424,0.8119539930690781,0.1,0.5480687618255615,0.7470732033252716,0.7856583595275879,0.8260625787079334,0.8431325581090138,1.4333643434985204,0.4109536669557138,0.4854820370674133,2.9055535522801264,-0.3340432865267221,0.2722215208906422,True,False,False
Qwen3-8B,span_mean,30,0.9899319887161256,0.8065108776893031,0.1,0.507325291633606,0.7202910929918289,0.7600971981883049,0.8034322606399655,0.8538613399813272,1.3196970460948663,0.43109077613538677,0.5231854319572449,2.767107945317621,-0.330082955128651,0.279785506152072,True,False,False
Qwen3-8B,span_mean,31,0.989399528503418,0.7986091193314515,0.1,0.48911282420158386,0.7036556899547577,0.7461223527789116,0.7910250509157777,0.8593093121563952,1.240923033467289,0.44624468804389983,0.535632312297821,2.6829778040944,-0.3224678784680121,0.2861097307563182,True,False,False
Qwen3-8B,span_mean,32,0.9907570719718932,0.8013020538712545,0.1,0.47687551379203796,0.6879158914089203,0.7333219274878502,0.780775130726397,0.8699510412353114,1.1404494379001882,0.46719160111579855,0.5602056384086609,2.5575445213434818,-0.3131335374015415,0.2980468321665113,True,False,False
Qwen3-8B,span_mean,33,0.9905856847763062,0.7957365928897902,1.0,0.48822706937789917,0.679692342877388,0.7279029339551926,0.775879381224513,0.8829370329321752,1.0499857041537732,0.4878082798205642,0.5658058524131775,2.4123524993848213,-0.2928454787493169,0.3135107017901493,True,False,False
Qwen3-8B,span_mean,34,0.992020893096924,0.8570908564038971,1.0,0.6821727752685547,0.7343817576766014,0.7546170800924301,0.7942905332893133,0.9312499563492438,0.6276916708154192,0.6143669700656719,0.6580531597137451,1.8919147743196332,-0.1365189709955733,0.4317384769465716,True,False,False
Qwen3-8B,span_mean,35,0.990138578414917,0.8903217677109365,1.0,0.8417899012565613,0.8719598613679409,0.8833040576428175,0.9025440509431064,0.975807186753158,0.5281312142969585,0.6543940668472413,0.7457320094108582,1.5646340042032716,0.0867185653020614,0.5640447884788702,True,False,True
Gemma4-E4B,span_end,0,0.8668220639228821,0.014614729960119654,100.0,0.22403958439826965,0.3648173063993454,0.45933326333761215,0.620840847492218,0.17181201752652303,2.1804039143926017,0.31442547139204535,0.2154867649078369,10.535818691995836,-0.5760402646032989,0.024814135819018732,False,False,False
Gemma4-E4B,span_end,1,0.8077703833580017,-0.001563331178845706,1000.0,0.2587693929672241,0.407682865858078,0.49314824491739273,0.6351547576487064,0.21128038444986116,3.1228356758971416,0.24255150547138823,0.1740612238645553,9.51232475636861,-0.4906668863854923,0.025272060049846255,False,False,False
Gemma4-E4B,span_end,2,0.6823188662528992,0.0017878833551149276,1000.0,0.25877833366394043,0.39690446853637695,0.48523233085870743,0.6203308366239071,0.250329072842746,4.053750585503779,0.1978728437585362,0.1572493761777877,9.272195283906765,-0.454436033602675,0.024035170996685902,False,False,False
Gemma4-E4B,span_end,3,0.6844059586524963,0.0007448468719424728,1000.0,0.26051396131515503,0.3650040477514267,0.465488038957119,0.6175668127834797,0.2222284599661054,3.9257527530329557,0.20301465585828796,0.1559197753667831,6.92223205053827,-0.4321288962450926,0.021000788146824576,False,False,False
Gemma4-E4B,span_end,4,0.7075383305549622,-0.0033950974031859093,1000.0,0.2343522608280182,0.38958221673965454,0.4786131903529167,0.6218165829777718,0.2739630287102974,4.1389790530489226,0.19459118040317883,0.1587737947702407,6.553498226071802,-0.4066609855458008,0.025515246872234113,False,False,False
Gemma4-E4B,span_end,5,0.8444567322731018,0.5048306958280246,1.0,0.4374229311943054,0.5309604108333588,0.5981104746460915,0.7272870354354382,0.9445854069931118,1.1559408396686486,0.46383461994889075,1.3765616416931152,1.4344625068905066,-0.0471890683365096,0.2620509875434488,False,False,False
Gemma4-E4B,span_end,6,0.8705081224441529,0.45839668117347115,1.0,0.36585116386413574,0.46322672814130783,0.5522945821285248,0.6987367924302816,0.92449262228319,1.3620612235927239,0.4233590518365091,1.2697144746780396,1.5291866043458202,-0.0802151091186996,0.21616385782252567,False,False,False
