model,design_variant,pooling,head_rank,layer,head,metric,confirmation_examples,correct_examples,wrong_examples,counts_with_both_outcomes,wrong_minus_correct_count_adjusted,bootstrap_valid_replicates,bootstrap_ci_low,bootstrap_ci_high,descriptive_only_small_wrong_group
Qwen3-8B,v4.3,span_end,5,8,18,pool_enrichment,100,48,52,5,0.6823560907049563,1000,-0.95952885582992,2.767855747408739,False
Qwen3-8B,v4.3,span_end,5,8,18,pool_min_to_mean,100,48,52,5,0.0111196404647435,1000,-0.0646186925980263,0.105790656100291,False
Qwen3-8B,v4.3,span_end,6,29,0,pool_primary,100,48,52,5,0.0001635130387477,1000,-0.0003057004195254,0.0007242709144222,False
Qwen3-8B,v4.3,span_end,6,29,0,pool_coverage,100,48,52,5,-0.008461135899482,1000,-0.077725465788275,0.0491328342200662,False
Qwen3-8B,v4.3,span_end,6,29,0,pool_enrichment,100,48,52,5,1.7068155513088352,1000,-3.8054240428137738,8.11699462303453,False
Qwen3-8B,v4.3,span_end,6,29,0,pool_min_to_mean,100,48,52,5,-0.0030417824379624,1000,-0.0126872424629314,0.0017769435622076,False
Qwen3-8B,v4.3,span_end,7,22,0,pool_primary,100,48,52,5,-0.000902859283937,1000,-0.0020970065811282,0.0002521702386681,False
Qwen3-8B,v4.3,span_end,7,22,0,pool_coverage,100,48,52,5,-0.0970979634514827,1000,-0.163454525311838,-0.0142586445560073,False
Qwen3-8B,v4.3,span_end,7,22,0,pool_enrichment,100,48,52,5,-1.6682937115929062,1000,-5.172066141628543,1.1765682136490412,False
Qwen3-8B,v4.3,span_end,7,22,0,pool_min_to_mean,100,48,52,5,-0.0954957607197727,1000,-0.1736606782749344,-0.0145269421347159,False
Qwen3-8B,v4.3,span_end,8,6,12,pool_primary,100,48,52,5,-0.0001098070183634,1000,-0.0009470000434382,0.0007975226989838,False
Qwen3-8B,v4.3,span_end,8,6,12,pool_coverage,100,48,52,5,-0.0840158775216227,1000,-0.1806885758573625,-0.003052680278343,False
Qwen3-8B,v4.3,span_end,8,6,12,pool_enrichment,100,48,52,5,0.35944689277995,1000,-1.391346237114107,2.3433193252088067,False
Qwen3-8B,v4.3,span_end,8,6,12,pool_min_to_mean,100,48,52,5,-0.1059951646133674,1000,-0.2211250871014343,-0.0229707376651244,False
Qwen3-8B,v4.3,span_mean,1,27,18,pool_primary,100,48,52,5,-0.0004531830946042,1000,-0.0023348941515306,0.0017276005872401,False
Qwen3-8B,v4.3,span_mean,1,27,18,pool_coverage,100,48,52,5,0.0100037537350528,1000,-0.0217662554908687,0.0389779613034506,False
Qwen3-8B,v4.3,span_mean,1,27,18,pool_enrichment,100,48,52,5,-1.0262597290397273,1000,-5.448689527803388,3.998296141665231,False
Qwen3-8B,v4.3,span_mean,1,27,18,pool_min_to_mean,100,48,52,5,0.0236064943893418,1000,-0.0338347558668045,0.0795938303201303,False
Qwen3-8B,v4.3,span_mean,2,28,19,pool_primary,100,48,52,5,-3.196688953401174e-05,1000,-0.000874638787488,0.0012767263980473,False
Qwen3-8B,v4.3,span_mean,2,28,19,pool_coverage,100,48,52,5,0.0077766939677116,1000,-0.0160537772466652,0.0264302698076311,False
Qwen3-8B,v4.3,span_mean,2,28,19,pool_enrichment,100,48,52,5,-0.2163333174050668,1000,-2.665003985606397,3.5274095994925254,False
Qwen3-8B,v4.3,span_mean,2,28,19,pool_min_to_mean,100,48,52,5,0.0188153064368079,1000,-0.0121564098929212,0.0447674585073648,False
Qwen3-8B,v4.3,span_mean,3,23,29,pool_primary,100,48,52,5,-0.000217213757337,1000,-0.0017134654825901,0.0014506642174453,False
Qwen3-8B,v4.3,span_mean,3,23,29,pool_coverage,100,48,52,5,0.0316469649182153,1000,0.0003470825972322,0.0560863669044922,False
Qwen3-8B,v4.3,span_mean,3,23,29,pool_enrichment,100,48,52,5,-1.8213113033880743,1000,-5.590263817985012,2.672544814081105,False
Qwen3-8B,v4.3,span_mean,3,23,29,pool_min_to_mean,100,48,52,5,0.0415475647853816,1000,-0.0110674515425456,0.0868763039940094,False
