model_label,site_kind,layer,pca_dim,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,city_unit_end,11,16,0.6171559345208201,0.5215725020510609,0.5693642182859404,869,5,16,16,0.5676283037675642,0.46933946655834624,0.2541206193722168,-5.949600948226557,2.5330986976623535,9.968095874786377,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,12,16,0.6168145492791738,0.511653548753636,0.5642340490164048,869,5,16,16,0.5627517768592566,0.42497281326837744,0.24500777576073202,-6.108201323032599,2.5974626541137695,10.601551914215088,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,13,16,0.6209244263945057,0.5344712709625772,0.5776978486785415,869,5,16,16,0.6028233857529275,0.5035769180995796,0.2722280820164636,-5.650670766502093,3.0622975826263428,11.249014282226563,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,14,16,0.6181524609489375,0.5088067904756967,0.5634796257123171,869,5,16,16,0.5972470683342345,0.5071127427838886,0.30230646492021296,-5.195525651968019,3.4229538440704346,11.32279405593872,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,15,16,0.5855494494107146,0.5016372260174938,0.5435933377141042,869,5,16,16,0.6019491736304448,0.5100632439200005,0.27474578041184855,-5.610689688150169,3.2502002716064453,11.829846000671386,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,16,16,0.5901862997168952,0.5287558125250829,0.559471056120989,869,5,16,16,0.6171832980584185,0.5059011379449726,0.2683380657507742,-5.713177150549349,3.1268889904022217,11.652796936035156,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,17,16,0.5962970311326761,0.5229421983116651,0.5596196147221706,869,5,16,16,0.6162388269634298,0.4886625112690058,0.25830334946776146,-5.878699622125339,3.2513957023620605,12.587508869171142,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,18,16,0.6487260698919266,0.5880947207581406,0.6184103953250336,869,5,16,16,0.692452727348958,0.5854870542787192,0.3350355189194429,-4.749091486258141,3.9471664428710938,11.781337261199951,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,19,16,0.6555106258644267,0.5906590376482158,0.6230848317563212,869,5,16,16,0.6717608126643386,0.5969121190885478,0.33187236928961394,-4.790289041583574,3.94767689704895,11.895165920257568,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,20,16,0.6505202154583625,0.6071708819468975,0.62884554870263,869,5,16,16,0.6041405385454901,0.5552586594152985,0.27020714152317393,-5.6830317684204115,3.3725616931915283,12.481393623352051,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,21,16,0.6582310230805342,0.5752581953276159,0.616744609204075,869,5,16,16,0.642359536051834,0.5273404692661746,0.26341242650738883,-5.793637410056326,3.237995147705078,12.292492008209228,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,22,16,0.6488625513137094,0.5994284901911471,0.6241455207524282,869,5,16,16,0.6067204330057041,0.5423245433727175,0.26089101734169073,-5.8354087370198275,3.2390873432159424,12.415480518341065,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,23,16,0.8319285362986719,0.7115780707812784,0.7717533035399752,869,5,16,16,0.8372849037885096,0.6450637008512989,0.3764155738123376,-4.243324163796386,4.5396223068237305,12.060134124755859,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,24,16,0.8259590575634551,0.6802775884758703,0.7531183230196627,869,5,16,16,0.8089269147690178,0.617428759101645,0.3656439125770467,-4.369416525315554,4.379908561706543,11.978617477416993,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,25,16,0.8262084646346336,0.667220710356383,0.7467145874955083,869,5,16,16,0.7911392985237897,0.5938376729555296,0.3573770625708485,-4.468733251336312,4.2643256187438965,11.932286834716797,465,10,8,85,16,0.1
